Canonical Brand,Legacy Compact Key,Distinct Strict Identifiers,Raw Identifiers,Competitors,Official Identifier Matches,Repository Mapping Evidence,Repository Mapping Titles,Evidence Strength,Recommended Disposition,Automatic Alias Approval
Columbia Tools,ffba1014,ffba-10-14 | ffba10-14,FFBA-10-14 | FFBA10-14,Al's Taping Tools | All-Wall,,,,none,insufficient_repository_evidence,no
Columbia Tools,ffba107,ffba-10-7 | ffba10-7,FFBA10-7 | ffba-10-7,Al's Taping Tools | All-Wall,,,,none,insufficient_repository_evidence,no
Columbia Tools,ffba12,ffba-12 | ffba12,FFBA-12 | FFBA12,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,ffbr4010,ffbr-40-10 | ffbr40-10,FFBR-40-10 | FFBR40-10,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,ffbr4012,ffbr-40-12 | ffbr40-12,FFBR-40-12 | FFBR40-12,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,ffbr408,ffbr-40-8 | ffbr40-8,FFBR-40-8 | FFBR40-8,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,hhr1,hhr-1 | hhr1,HHR-1 | HHR1,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,hnsa52,hnsa-5-2 | hnsa5-2,HNSA-5-2 | HNSA-5-2” | HNSA5-2,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,hnsa53,hnsa-5-3 | hnsa5-3,HNSA-5-3” | HNSA5-3,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,mpr1,mpr-1 | mpr1,MPR-1 | MPR1,Al's Taping Tools | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,ns32,ns3-2 | ns32,NS3-2 | NS32,All-Wall,,,,none,insufficient_repository_evidence,no
Columbia Tools,tl38,tl3-8 | tl38,TL3-8 | TL38,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb10,tsb-10 | tsb10,TSB-10 | TSB10,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb12,tsb-12 | tsb12,TSB-12 | TSB12,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb14,tsb-14 | tsb14,TSB-14 | TSB14,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb18,tsb-18 | tsb18,TSB-18 | TSB18,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb24,tsb-24 | tsb24,TSB-24 | TSB24,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb32,tsb-32 | tsb32,TSB-32 | TSB32,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb40,tsb-40 | tsb40,TSB-40 | TSB40,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb48,tsb-48 | tsb48,TSB-48 | TSB48,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
Columbia Tools,tsb7,tsb-7 | tsb7,TSB-7 | TSB7,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
LEVEL5,4777,4-777 | 4777,4-777 | 4777,Al's Taping Tools | Wall Tools,4-777,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
LEVEL5,4817,4-817 | 4817,4-817 | 4817,Al's Taping Tools | Wall Tools,,,,none,insufficient_repository_evidence,no
SurPro,ss1005p,ss1005-p | ss1005p,SS1005-P | SS1005P,Al's Taping Tools | Wall Tools,,,,none,insufficient_repository_evidence,no
TapeTech,07ttc,07tt-c | 07ttc,07TT-C | 07TTC,Al's Taping Tools | All-Wall | Wall Tools,07tt-c,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
TapeTech,501c10,501c-10 | 501c10,501C-10 | 501C10,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
TapeTech,501c7,501c-7 | 501c7,501C-7 | 501C7,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
TapeTech,ban001tt,ban001-tt | ban001tt,BAN001-TT | BAN001TT,Al's Taping Tools | All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
TapeTech,caatt,caa-tt | caatt,CAA-TT | CAATT,Al's Taping Tools | All-Wall | Wall Tools,caa-tt,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
TapeTech,cfatt,cfa-tt | cfatt,CFA-TT | CFATT,Al's Taping Tools | All-Wall | Wall Tools,cfa-tt,,,protected_identifier_present_without_direct_alias_proof,official_anchor_only_review,no
TapeTech,ezrollkit,ezroll-kit | ezrollkit,EZROLL-KIT | EZROLLKIT,All-Wall | Wall Tools,,,,none,insufficient_repository_evidence,no
TapeTech,shw016,shw-016 | shw016,SHW-016 | SHW016,Al's Taping Tools,,,,none,insufficient_repository_evidence,no
